seed,score,class_imbalance,split_dev,n_train,n_eval,eval_pct,n_eval_sources,eval_left,eval_centre,eval_right,train_left,train_centre,train_right
7526,0.16167581504898715,0.06355222485696116,0.014830094452285308,36161,9894,21.483009445228532,111,0.3494036789973721,0.23175662017384274,0.41883970082878513,0.3256823649788446,0.27222698487320596,0.4020906501479494
7924,0.16178221607165616,0.05191397707709727,0.043187493214634665,34855,11200,24.318749321463468,111,0.3048214285714286,0.2857142857142857,0.4094642857142857,0.33911920814804186,0.25640510687132406,0.4044756849806341
4120,0.1621578360182162,0.04120392665328604,0.07039409401802194,40086,5969,12.960590598197808,111,0.3107723236723069,0.28413469592896634,0.40509298039872677,0.3337574215436811,0.2604650002494637,0.4057775782068553
3230,0.16232205907086955,0.06416789338472845,0.015937466073173395,37578,8477,18.40625339268266,111,0.30930753804411937,0.2529196649758169,0.4377727969800637,0.335621906434616,0.26592687210601945,0.3984512214593645
4841,0.16244349865563776,0.06580879014137814,0.012485072196287028,36269,9786,21.248507219628703,111,0.3636828121806663,0.25383200490496627,0.38248518291436745,0.3219002453886239,0.26615015578041856,0.41194959883095755
4410,0.16261581920437976,0.04806501360145529,0.05575941808706983,39412,6643,14.424058191293017,111,0.3472828541321692,0.23950022580159566,0.4132169200662351,0.3279965492743327,0.26758347711356945,0.40441997361209786
2016,0.16307327309462194,0.02861609523989861,0.10426663771577463,41646,4409,9.573336228422539,111,0.32048083465638466,0.2778407802222726,0.4016783851213427,0.33186860682898717,0.2620179609086107,0.40611343226240215
3796,0.1636101134236336,0.06717413024705066,0.01387471501465637,36205,9850,21.387471501465637,111,0.3643654822335025,0.25532994923857866,0.3803045685279188,0.32164065736776687,0.26576439718270956,0.4125949454495235
1414,0.1642080864881577,0.05907836248700499,0.03569644989686244,35200,10855,23.569644989686246,111,0.3377245508982036,0.23399355135882083,0.4282818977429756,0.3286363636363636,0.27264204545454546,0.39872159090909093
5017,0.1644296510258084,0.06185417961802592,0.029920746933014886,38222,7833,17.007925306698514,111,0.336141963487808,0.23260564279331036,0.43125239371888163,0.3296792423211763,0.26987075506252944,0.40045000261629426
4339,0.1645449783701988,0.0393923188300514,0.08429052220171535,32962,13093,28.429052220171535,111,0.3110822576949515,0.27755289085771023,0.41136485144733825,0.33860202657605726,0.25796371579394456,0.4034342576299982
6209,0.16459002451504043,0.06870779670797567,0.014113559874063625,37494,8561,18.58864401259364,111,0.35568274734260014,0.22917883424833546,0.41513841840906435,0.3250920147223556,0.27137675361391156,0.40353123166373284
1188,0.1649976874673396,0.053301395566881266,0.05271957442188685,34416,11639,25.271957442188686,111,0.3302689234470315,0.23739152848182835,0.4323395480711401,0.3309507205950721,0.27237331473733145,0.39667596466759647
